ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY 12/102 69/11149 0.173913043478261 19.0093776641091 14.4188213050315 1.01486619173553e-12 2.28750839617187e-09 2.14190180466287e-09 ENSG00000007312/ENSG00000012124/ENSG00000035720/ENSG00000095585/ENSG00000105369/ENSG00000136573/ENSG00000137101/ENSG00000153064/ENSG00000156738/ENSG00000177455/ENSG00000211898/ENSG00000211899 12
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX 8/102 22/11149 0.363636363636364 39.74688057041 17.479758550952 1.06861997786364e-11 1.20433471505232e-08 1.12767529242979e-08 ENSG00000007312/ENSG00000105369/ENSG00000211898/ENSG00000211899/ENSG00000211949/ENSG00000211955/ENSG00000239951/ENSG00000244437 8
GOBP_B_CELL_ACTIVATION GOBP_B_CELL_ACTIVATION 17/102 235/11149 0.0723404255319149 7.90709219858156 10.2828523171064 3.50945770765297e-11 2.63677255768326e-08 2.4689342820506e-08 ENSG00000007312/ENSG00000012124/ENSG00000076554/ENSG00000095585/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000133789/ENSG00000143297/ENSG00000153064/ENSG00000156738/ENSG00000160683/ENSG00000163534/ENSG00000177425/ENSG00000177455/ENSG00000211899/ENSG00000269404 17
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY 14/102 193/11149 0.0725388601036269 7.92878187544448 9.33009189265784 2.12068502062709e-09 1.19500600912337e-06 1.11894038588351e-06 ENSG00000007312/ENSG00000012124/ENSG00000035720/ENSG00000095585/ENSG00000105369/ENSG00000121594/ENSG00000136573/ENSG00000137101/ENSG00000153064/ENSG00000156738/ENSG00000177425/ENSG00000177455/ENSG00000211898/ENSG00000211899 14
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING 9/102 68/11149 0.132352941176471 14.4666955017301 10.7029231756279 9.89381756025652e-09 4.46013295616364e-06 4.17623246490828e-06 ENSG00000101017/ENSG00000204252/ENSG00000211898/ENSG00000211899/ENSG00000211949/ENSG00000211955/ENSG00000239951/ENSG00000241106/ENSG00000244437 9
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE 14/102 225/11149 0.0622222222222222 6.80113289760349 8.44674954356172 1.53401063872581e-08 5.7627666328133e-06 5.39594970288641e-06 ENSG00000007312/ENSG00000012124/ENSG00000101017/ENSG00000105369/ENSG00000121594/ENSG00000132185/ENSG00000132704/ENSG00000135318/ENSG00000143297/ENSG00000156738/ENSG00000160683/ENSG00000163534/ENSG00000177455/ENSG00000187912 14
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY 16/102 329/11149 0.0486322188449848 5.31569223434054 7.6350374863793 4.36792586712035e-08 1.40647212921275e-05 1.31694606971072e-05 ENSG00000007312/ENSG00000012124/ENSG00000035720/ENSG00000095585/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000121594/ENSG00000136573/ENSG00000137101/ENSG00000153064/ENSG00000156738/ENSG00000177425/ENSG00000177455/ENSG00000211898/ENSG00000211899 16
GOCC_CELL_SURFACE GOCC_CELL_SURFACE 17/102 481/11149 0.0353430353430353 3.86313236313236 6.1680636911905 1.50571144136703e-06 0.000424234198605161 0.000397230452623802 ENSG00000007312/ENSG00000012124/ENSG00000091972/ENSG00000101017/ENSG00000105369/ENSG00000121594/ENSG00000132185/ENSG00000132704/ENSG00000135318/ENSG00000143297/ENSG00000152894/ENSG00000156738/ENSG00000160683/ENSG00000163534/ENSG00000177455/ENSG00000187912/ENSG00000211899 17
GOBP_B_CELL_DIFFERENTIATION GOBP_B_CELL_DIFFERENTIATION 9/102 123/11149 0.0731707317073171 7.99784791965567 7.49867360589784 1.74495522890049e-06 0.000437014342882412 0.000409197103385437 ENSG00000007312/ENSG00000076554/ENSG00000095585/ENSG00000105369/ENSG00000117322/ENSG00000156738/ENSG00000177455/ENSG00000211899/ENSG00000269404 9
GOCC_SIDE_OF_MEMBRANE GOCC_SIDE_OF_MEMBRANE 16/102 449/11149 0.0356347438752784 3.89501724966156 6.01670649401392 2.86061538244463e-06 0.00064478270720302 0.000603740404400156 ENSG00000007312/ENSG00000012124/ENSG00000101017/ENSG00000105369/ENSG00000121594/ENSG00000132185/ENSG00000132704/ENSG00000135318/ENSG00000143297/ENSG00000156738/ENSG00000157654/ENSG00000160683/ENSG00000163534/ENSG00000174607/ENSG00000177455/ENSG00000187912 16
GOBP_ADAPTIVE_IMMUNE_RESPONSE GOBP_ADAPTIVE_IMMUNE_RESPONSE 15/102 423/11149 0.0354609929078014 3.87602558753998 5.79455943567839 6.42080694826963e-06 0.00127096541679529 0.00119006475537036 ENSG00000007312/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000121594/ENSG00000133789/ENSG00000177455/ENSG00000204252/ENSG00000211898/ENSG00000211899/ENSG00000211949/ENSG00000211955/ENSG00000239951/ENSG00000241106/ENSG00000244437 15
GOBP_B_CELL_PROLIFERATION GOBP_B_CELL_PROLIFERATION 7/102 78/11149 0.0897435897435897 9.80932629462041 7.50192920212346 6.76645297317813e-06 0.00127096541679529 0.00119006475537036 ENSG00000012124/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000156738/ENSG00000177425/ENSG00000177455 7
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING 4/102 15/11149 0.266666666666667 29.1477124183007 10.4818880065749 8.34243081616973e-06 0.00144644915843435 0.00135437844424456 ENSG00000042980/ENSG00000117322/ENSG00000211898/ENSG00000211899 4
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY 16/102 498/11149 0.0321285140562249 3.51177258051815 5.5103119156419 1.0683841235407e-05 0.00156441656555747 0.00146483688130702 ENSG00000007312/ENSG00000012124/ENSG00000035720/ENSG00000095585/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000121594/ENSG00000136573/ENSG00000137101/ENSG00000153064/ENSG00000156738/ENSG00000177425/ENSG00000177455/ENSG00000211898/ENSG00000211899 16
GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY 14/102 387/11149 0.0361757105943152 3.9541470334904 5.68352120570926 1.07477249265275e-05 0.00156441656555747 0.00146483688130702 ENSG00000007312/ENSG00000083454/ENSG00000105369/ENSG00000117322/ENSG00000132185/ENSG00000132704/ENSG00000137101/ENSG00000143297/ENSG00000152894/ENSG00000160683/ENSG00000163534/ENSG00000185436/ENSG00000204252/ENSG00000241106 14
HP_RECURRENT_BACTERIAL_INFECTIONS HP_RECURRENT_BACTERIAL_INFECTIONS 9/102 154/11149 0.0584415584415584 6.38789152024446 6.4693101954562 1.11049978034248e-05 0.00156441656555747 0.00146483688130702 ENSG00000007312/ENSG00000095585/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000156738/ENSG00000177455/ENSG00000196628/ENSG00000211899 9
HP_ABNORMALITY_OF_HUMORAL_IMMUNITY HP_ABNORMALITY_OF_HUMORAL_IMMUNITY 12/102 302/11149 0.0397350993377483 4.34320218153487 5.6596253325107 1.9176318604868e-05 0.0025425542432572 0.00238071323856101 ENSG00000007312/ENSG00000095585/ENSG00000101017/ENSG00000105369/ENSG00000117322/ENSG00000136573/ENSG00000153064/ENSG00000156738/ENSG00000177455/ENSG00000196628/ENSG00000211899/ENSG00000269404 12
HP_MENINGITIS HP_MENINGITIS 6/102 63/11149 0.0952380952380952 10.4098972922502 7.19687748636738 2.25332722270247e-05 0.00282166642220632 0.0026420591119991 ENSG00000007312/ENSG00000095585/ENSG00000105369/ENSG00000117322/ENSG00000177455/ENSG00000211899 6
HP_AGAMMAGLOBULINEMIA HP_AGAMMAGLOBULINEMIA 4/102 22/11149 0.181818181818182 19.873440285205 8.51431584567697 4.25579670207513e-05 0.00504871882446176 0.0047273531233577 ENSG00000007312/ENSG00000095585/ENSG00000105369/ENSG00000211899 4
GOBP_B_CELL_MEDIATED_IMMUNITY GOBP_B_CELL_MEDIATED_IMMUNITY 7/102 106/11149 0.0660377358490566 7.21818349981502 6.18086587456148 5.06536955769682e-05 0.00540852438458597 0.00506425600854382 ENSG00000101017/ENSG00000117322/ENSG00000133789/ENSG00000177455/ENSG00000211898/ENSG00000211949/ENSG00000211955 7
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY 4/102 23/11149 0.173913043478261 19.0093776641091 8.30748344714961 5.11566058909098e-05 0.00540852438458597 0.00506425600854382 ENSG00000012124/ENSG00000035720/ENSG00000137101/ENSG00000177455 4
HP_SKIN_RASH HP_SKIN_RASH 8/102 145/11149 0.0551724137931034 6.03056118999324 5.85870370970496 5.27895015354443e-05 0.00540852438458597 0.00506425600854382 ENSG00000005471/ENSG00000007312/ENSG00000095585/ENSG00000105369/ENSG00000117322/ENSG00000136573/ENSG00000153064/ENSG00000211899 8
HP_ABNORMAL_CIRCULATING_IGM_CONCENTRATION HP_ABNORMAL_CIRCULATING_IGM_CONCENTRATION 7/102 108/11149 0.0648148148148148 7.08451343500363 6.10534086783999 5.70985585417211e-05 0.00559565873708867 0.00523947871286731 ENSG00000007312/ENSG00000095585/ENSG00000101017/ENSG00000117322/ENSG00000177455/ENSG00000196628/ENSG00000269404 7
GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY 6/102 75/11149 0.08 8.7443137254902 6.46602975987653 6.11243540119228e-05 0.00574059558095308 0.00537518990324146 ENSG00000012124/ENSG00000035720/ENSG00000121594/ENSG00000137101/ENSG00000177425/ENSG00000177455 6
HP_HEPATITIS HP_HEPATITIS 6/102 76/11149 0.0789473684210526 8.62925696594427 6.41257973112902 6.58764276760642e-05 0.00593941871927395 0.00556135736802142 ENSG00000007312/ENSG00000095585/ENSG00000105369/ENSG00000196628/ENSG00000211899/ENSG00000269404 6
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT 4/102 28/11149 0.142857142857143 15.6148459383753 7.44008206374048 0.000114203867008272 0.00936308793568805 0.00876710003785296 ENSG00000083454/ENSG00000151320/ENSG00000156738/ENSG00000177455 4
HP_RECURRENT_BRONCHITIS HP_RECURRENT_BRONCHITIS 4/102 28/11149 0.142857142857143 15.6148459383753 7.44008206374048 0.000114203867008272 0.00936308793568805 0.00876710003785296 ENSG00000007312/ENSG00000105369/ENSG00000117322/ENSG00000177455 4
