ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_PLATELET_ACTIVATION GOBP_PLATELET_ACTIVATION 13/93 104/11149 0.125 14.9852150537634 13.1414684830366 2.62987472128273e-12 5.98515008681957e-09 5.45574517619835e-09 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000110799/ENSG00000161911/ENSG00000166333/ENSG00000178732/ENSG00000205639/ENSG00000259207 13
GOBP_HEMOSTASIS GOBP_HEMOSTASIS 15/93 161/11149 0.093167701863354 11.1691043878982 11.9200275016618 3.7928707774522e-12 5.98515008681957e-09 5.45574517619835e-09 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000110799/ENSG00000137801/ENSG00000161911/ENSG00000166333/ENSG00000178732/ENSG00000204420/ENSG00000205639/ENSG00000259207 15
GOBP_PLATELET_AGGREGATION GOBP_PLATELET_AGGREGATION 10/93 60/11149 0.166666666666667 19.9802867383513 13.5198894927821 5.32343818925214e-11 5.60025697509326e-08 5.10489704253548e-08 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000166333/ENSG00000205639/ENSG00000259207 10
GOBP_WOUND_HEALING GOBP_WOUND_HEALING 17/93 284/11149 0.0598591549295775 7.1760184764501 9.66927318674708 1.50250608780868e-10 1.18547730328105e-07 1.08061819420556e-07 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000110799/ENSG00000124762/ENSG00000137801/ENSG00000156535/ENSG00000161911/ENSG00000166333/ENSG00000178732/ENSG00000204420/ENSG00000205639/ENSG00000259207 17
GOBP_HOMOTYPIC_CELL_CELL_ADHESION GOBP_HOMOTYPIC_CELL_CELL_ADHESION 10/93 70/11149 0.142857142857143 17.1259600614439 12.4126713851701 2.61677004712023e-10 1.65170525374229e-07 1.50560685026939e-07 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000166333/ENSG00000205639/ENSG00000259207 10
GOBP_REGULATION_OF_BODY_FLUID_LEVELS GOBP_REGULATION_OF_BODY_FLUID_LEVELS 15/93 236/11149 0.0635593220338983 7.61960087479497 9.42663448676539 8.87611857195037e-10 4.66883836884589e-07 4.25586527318252e-07 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000110799/ENSG00000137801/ENSG00000161911/ENSG00000166333/ENSG00000178732/ENSG00000204420/ENSG00000205639/ENSG00000259207 15
GOBP_RESPONSE_TO_WOUNDING GOBP_RESPONSE_TO_WOUNDING 17/93 363/11149 0.046831955922865 5.61429544714002 8.19727381589193 6.44827695508922e-09 2.90725172432308e-06 2.65009637868554e-06 ENSG00000011105/ENSG00000035403/ENSG00000088053/ENSG00000101162/ENSG00000101335/ENSG00000108576/ENSG00000108839/ENSG00000110799/ENSG00000124762/ENSG00000137801/ENSG00000156535/ENSG00000161911/ENSG00000166333/ENSG00000178732/ENSG00000204420/ENSG00000205639/ENSG00000259207 17
GOCC_PLATELET_ALPHA_GRANULE GOCC_PLATELET_ALPHA_GRANULE 8/93 62/11149 0.129032258064516 15.4686090877558 10.4774728303794 4.03783080950239e-08 1.59292425434869e-05 1.45202521083816e-05 ENSG00000005961/ENSG00000110799/ENSG00000113140/ENSG00000120885/ENSG00000137801/ENSG00000156535/ENSG00000161911/ENSG00000259207 8
HP_PROLONGED_BLEEDING_AFTER_SURGERY HP_PROLONGED_BLEEDING_AFTER_SURGERY 5/93 17/11149 0.294117647058824 35.2593295382669 12.9645563774645 2.07166058584189e-07 7.26462312101891e-05 6.62204489018234e-05 ENSG00000005961/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 5
HP_PROLONGED_BLEEDING_AFTER_DENTAL_EXTRACTION HP_PROLONGED_BLEEDING_AFTER_DENTAL_EXTRACTION 5/93 18/11149 0.277777777777778 33.3004778972521 12.5782159994928 2.8496030642995e-07 8.99334727092924e-05 8.19785807866373e-05 ENSG00000005961/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 5
HP_ABNORMAL_PLATELET_AGGREGATION HP_ABNORMAL_PLATELET_AGGREGATION 6/93 36/11149 0.166666666666667 19.9802867383513 10.4611469216947 4.55759150236672e-07 0.000130761443467903 0.000119195192114529 ENSG00000005961/ENSG00000088053/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 6
HP_PROLONGED_BLEEDING_FOLLOWING_PROCEDURE HP_PROLONGED_BLEEDING_FOLLOWING_PROCEDURE 5/93 28/11149 0.178571428571429 21.4074500768049 9.91600591889564 3.06023468993977e-06 0.00080484172345416 0.00073365100066714 ENSG00000005961/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 5
HP_ABNORMALITY_OF_VON_WILLEBRAND_FACTOR HP_ABNORMALITY_OF_VON_WILLEBRAND_FACTOR 4/93 14/11149 0.285714285714286 34.2519201228879 11.4176460336131 4.26058568494364e-06 0.000896427228112143 0.000817135486101823 ENSG00000005961/ENSG00000088053/ENSG00000110799/ENSG00000259207 4
HP_IMPAIRED_COLLAGEN_INDUCED_PLATELET_AGGREGATION HP_IMPAIRED_COLLAGEN_INDUCED_PLATELET_AGGREGATION 4/93 14/11149 0.285714285714286 34.2519201228879 11.4176460336131 4.26058568494364e-06 0.000896427228112143 0.000817135486101823 ENSG00000005961/ENSG00000088053/ENSG00000165702/ENSG00000259207 4
HP_MACROTHROMBOCYTOPENIA HP_MACROTHROMBOCYTOPENIA 4/93 14/11149 0.285714285714286 34.2519201228879 11.4176460336131 4.26058568494364e-06 0.000896427228112143 0.000817135486101823 ENSG00000005961/ENSG00000101162/ENSG00000165702/ENSG00000259207 4
GOMF_ACTIN_BINDING GOMF_ACTIN_BINDING 12/93 291/11149 0.0412371134020619 4.94357610021062 6.25176638568729 5.03110654998142e-06 0.000992385766983836 0.000904606197440739 ENSG00000035403/ENSG00000079482/ENSG00000103942/ENSG00000108576/ENSG00000128245/ENSG00000132970/ENSG00000133627/ENSG00000158352/ENSG00000166963/ENSG00000173210/ENSG00000185340/ENSG00000188677 12
GOCC_PLATELET_ALPHA_GRANULE_MEMBRANE GOCC_PLATELET_ALPHA_GRANULE_MEMBRANE 4/93 15/11149 0.266666666666667 31.968458781362 11.0072936472201 5.77284549913363e-06 0.00107171178795681 0.000976915588181562 ENSG00000005961/ENSG00000113140/ENSG00000156535/ENSG00000259207 4
HP_ABNORMAL_PLATELET_FUNCTION HP_ABNORMAL_PLATELET_FUNCTION 6/93 56/11149 0.107142857142857 12.8444700460829 8.14940835593961 6.64483680642304e-06 0.00116506138672617 0.00106200812818445 ENSG00000005961/ENSG00000088053/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 6
HP_PROLONGED_BLEEDING_TIME HP_PROLONGED_BLEEDING_TIME 5/93 35/11149 0.142857142857143 17.1259600614439 8.76325289706904 9.6531839455609e-06 0.00160344465958896 0.00146161505391789 ENSG00000005961/ENSG00000088053/ENSG00000110799/ENSG00000165702/ENSG00000259207 5
GOCC_ACTIN_CYTOSKELETON GOCC_ACTIN_CYTOSKELETON 12/93 327/11149 0.036697247706422 4.39932919009569 5.72208459878754 1.63751649456855e-05 0.00258400102842917 0.00235543819981887 ENSG00000035403/ENSG00000079482/ENSG00000101335/ENSG00000105887/ENSG00000107863/ENSG00000133627/ENSG00000147394/ENSG00000158352/ENSG00000160145/ENSG00000173210/ENSG00000185340/ENSG00000188677 12
HP_ABNORMAL_ELECTROPHYSIOLOGY_OF_SINOATRIAL_NODE_ORIGIN HP_ABNORMAL_ELECTROPHYSIOLOGY_OF_SINOATRIAL_NODE_ORIGIN 5/93 45/11149 0.111111111111111 13.3201911589008 7.59494994507061 3.40179760167478e-05 0.00511241582423124 0.00466020694003869 ENSG00000069966/ENSG00000125952/ENSG00000160014/ENSG00000160789/ENSG00000171385 5
GOCC_POSTSYNAPSE GOCC_POSTSYNAPSE 13/93 419/11149 0.0310262529832936 3.71948058613699 5.20396123276815 4.16369825254667e-05 0.00557925713051529 0.00508575469871866 ENSG00000069966/ENSG00000079482/ENSG00000100678/ENSG00000103942/ENSG00000108576/ENSG00000132970/ENSG00000154146/ENSG00000156011/ENSG00000158352/ENSG00000160014/ENSG00000160145/ENSG00000171385/ENSG00000259207 13
HP_ECCHYMOSIS HP_ECCHYMOSIS 5/93 47/11149 0.106382978723404 12.7533745138412 7.40545643908497 4.21525676770661e-05 0.00557925713051529 0.00508575469871866 ENSG00000005961/ENSG00000088053/ENSG00000156535/ENSG00000165702/ENSG00000259207 5
HP_INCREASED_MEAN_PLATELET_VOLUME HP_INCREASED_MEAN_PLATELET_VOLUME 4/93 24/11149 0.166666666666667 19.9802867383513 8.53688280456762 4.24278108784433e-05 0.00557925713051529 0.00508575469871866 ENSG00000005961/ENSG00000101162/ENSG00000165702/ENSG00000259207 4
GOMF_INTEGRIN_BINDING GOMF_INTEGRIN_BINDING 6/93 78/11149 0.0769230769230769 9.22167080231596 6.6827451406069 4.5375094998291e-05 0.00572815199258425 0.00522147935285597 ENSG00000108576/ENSG00000110799/ENSG00000137801/ENSG00000147650/ENSG00000166333/ENSG00000259207 6
HP_METRORRHAGIA HP_METRORRHAGIA 4/93 25/11149 0.16 19.1810752688172 8.34641583446443 5.01878947742845e-05 0.00609203830414007 0.00555317880235302 ENSG00000005961/ENSG00000101162/ENSG00000165702/ENSG00000259207 4
HP_EPISTAXIS HP_EPISTAXIS 6/93 83/11149 0.072289156626506 8.66614846482705 6.42927316318584 6.44891636331354e-05 0.00703385888997634 0.00641169246424699 ENSG00000005961/ENSG00000088053/ENSG00000101162/ENSG00000110799/ENSG00000165702/ENSG00000259207 6
GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION 3/93 10/11149 0.3 35.9645161290323 10.1448436871156 6.46330506366647e-05 0.00703385888997634 0.00641169246424699 ENSG00000137801/ENSG00000178732/ENSG00000259207 3
HP_CEPHALOHEMATOMA HP_CEPHALOHEMATOMA 3/93 10/11149 0.3 35.9645161290323 10.1448436871156 6.46330506366647e-05 0.00703385888997634 0.00641169246424699 ENSG00000005961/ENSG00000156535/ENSG00000259207 3
GOBP_CELL_SUBSTRATE_ADHESION GOBP_CELL_SUBSTRATE_ADHESION 9/93 214/11149 0.0420560747663551 5.04175459752789 5.47530571684867 7.11919885917673e-05 0.00748939719985392 0.00682693701127369 ENSG00000005961/ENSG00000035403/ENSG00000110799/ENSG00000137801/ENSG00000166333/ENSG00000177076/ENSG00000188677/ENSG00000243244/ENSG00000259207 9
HP_NEONATAL_ALLOIMMUNE_THROMBOCYTOPENIA HP_NEONATAL_ALLOIMMUNE_THROMBOCYTOPENIA 3/93 11/11149 0.272727272727273 32.6950146627566 9.64549748453988 8.83335147541676e-05 0.00899292169561784 0.00819747014679593 ENSG00000005961/ENSG00000156535/ENSG00000259207 3
HP_ABNORMAL_PLATELET_VOLUME HP_ABNORMAL_PLATELET_VOLUME 4/93 30/11149 0.133333333333333 15.984229390681 7.53707981769173 0.000105313724529864 0.0103099145996206 0.00939797098284411 ENSG00000005961/ENSG00000101162/ENSG00000165702/ENSG00000259207 4
