ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY 12/123 75/11149 0.16 14.5027642276423 12.3920483222271 2.74087156767866e-11 1.00096629651625e-07 9.13431514028487e-08 ENSG00000026751/ENSG00000100453/ENSG00000117281/ENSG00000134545/ENSG00000181847/ENSG00000183542/ENSG00000189430/ENSG00000198574/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 12
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY 10/123 49/11149 0.204081632653061 18.4984237597478 12.9651492906055 1.0546814648441e-10 1.92584835480532e-07 1.75743237773495e-07 ENSG00000117281/ENSG00000134545/ENSG00000181847/ENSG00000183542/ENSG00000189430/ENSG00000198574/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 10
GOBP_CELL_KILLING GOBP_CELL_KILLING 15/123 161/11149 0.093167701863354 8.44493258597182 10.0497769723408 2.34657094013173e-10 2.8565590244537e-07 2.60675213910774e-07 ENSG00000026751/ENSG00000100450/ENSG00000100453/ENSG00000115523/ENSG00000117281/ENSG00000134545/ENSG00000145649/ENSG00000181847/ENSG00000183542/ENSG00000189430/ENSG00000197540/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 15
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY 8/123 28/11149 0.285714285714286 25.8977932636469 13.9318886096491 4.50783243284928e-10 4.11565101119139e-07 3.75573617957916e-07 ENSG00000117281/ENSG00000134545/ENSG00000183542/ENSG00000198574/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 8
GOBP_ADAPTIVE_IMMUNE_RESPONSE GOBP_ADAPTIVE_IMMUNE_RESPONSE 21/123 423/11149 0.049645390070922 4.49997116992447 7.751001055389 6.14653749341936e-09 4.35455370629995e-06 3.97374676720633e-06 ENSG00000010810/ENSG00000026751/ENSG00000111537/ENSG00000117281/ENSG00000134545/ENSG00000138378/ENSG00000153563/ENSG00000163508/ENSG00000166349/ENSG00000196839/ENSG00000197540/ENSG00000198574/ENSG00000198821/ENSG00000205809/ENSG00000211689/ENSG00000211694/ENSG00000211695/ENSG00000211829/ENSG00000213809/ENSG00000227191/ENSG00000255819 21
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY 12/123 120/11149 0.1 9.06422764227642 9.38052996632026 7.29116780404850e-09 4.35455370629995e-06 3.97374676720633e-06 ENSG00000026751/ENSG00000100453/ENSG00000117281/ENSG00000134545/ENSG00000181847/ENSG00000183542/ENSG00000189430/ENSG00000197540/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 12
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY 7/123 26/11149 0.269230769230769 24.4036898061288 12.618335790064 9.26060859466753e-09 4.35455370629995e-06 3.97374676720633e-06 ENSG00000117281/ENSG00000134545/ENSG00000183542/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 7
GOBP_NATURAL_KILLER_CELL_ACTIVATION GOBP_NATURAL_KILLER_CELL_ACTIVATION 10/123 76/11149 0.131578947368421 11.9266153187848 10.0948958227633 9.53900045191666e-09 4.35455370629995e-06 3.97374676720633e-06 ENSG00000010810/ENSG00000026751/ENSG00000117281/ENSG00000134242/ENSG00000134545/ENSG00000189430/ENSG00000204475/ENSG00000205809/ENSG00000213809/ENSG00000255819 10
GOBP_T_CELL_ACTIVATION GOBP_T_CELL_ACTIVATION 22/123 493/11149 0.0446247464503043 4.04488860304425 7.30364749320614 1.78955858250305e-08 6.96359634284335e-06 6.35462789572896e-06 ENSG00000010810/ENSG00000026751/ENSG00000111537/ENSG00000117281/ENSG00000134242/ENSG00000134545/ENSG00000138378/ENSG00000141736/ENSG00000150045/ENSG00000153563/ENSG00000163508/ENSG00000166349/ENSG00000181847/ENSG00000196839/ENSG00000198821/ENSG00000198885/ENSG00000204475/ENSG00000211689/ENSG00000211829/ENSG00000213809/ENSG00000255819/ENSG00000271503 22
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY 18/123 329/11149 0.0547112462006079 4.95915190154941 7.6988972756458 1.90678979814988e-08 6.96359634284335e-06 6.35462789572896e-06 ENSG00000010810/ENSG00000111537/ENSG00000117281/ENSG00000134242/ENSG00000134545/ENSG00000153563/ENSG00000183542/ENSG00000189430/ENSG00000196839/ENSG00000198821/ENSG00000198885/ENSG00000204475/ENSG00000205809/ENSG00000211689/ENSG00000211829/ENSG00000213809/ENSG00000227191/ENSG00000255819 18
