ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN 32/33 76/11149 0.421052631578947 142.251993620415 67.3208999820692 7.50688638634235e-72 6.30578456452757e-70 3.63491340812366e-70 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000196890/ENSG00000197903/ENSG00000203811/ENSG00000203814/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000274997/ENSG00000275221/ENSG00000276410/ENSG00000276903/ENSG00000277075/ENSG00000277224/ENSG00000278463/ENSG00000278588/ENSG00000278677/ENSG00000288825/ENSG00000288859 32
GOCC_NUCLEOSOME GOCC_NUCLEOSOME 32/33 107/11149 0.299065420560748 101.038799207023 56.652315941643 5.21814793626033e-66 2.19162213322934e-64 1.26334107930513e-64 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000196890/ENSG00000197903/ENSG00000203811/ENSG00000203814/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000274997/ENSG00000275221/ENSG00000276410/ENSG00000276903/ENSG00000277075/ENSG00000277224/ENSG00000278463/ENSG00000278588/ENSG00000278677/ENSG00000288825/ENSG00000288859 32
GOCC_PROTEIN_DNA_COMPLEX GOCC_PROTEIN_DNA_COMPLEX 32/33 191/11149 0.167539267015707 56.6028875138823 42.2308246434892 6.57393547600974e-57 1.84070193328273e-55 1.06105625226824e-55 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000196890/ENSG00000197903/ENSG00000203811/ENSG00000203814/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000274997/ENSG00000275221/ENSG00000276410/ENSG00000276903/ENSG00000277075/ENSG00000277224/ENSG00000278463/ENSG00000278588/ENSG00000278677/ENSG00000288825/ENSG00000288859 32
GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY 32/33 251/11149 0.127490039840637 43.0723167934323 36.731703313062 8.14593097877153e-53 1.71064550554202e-51 9.86086381640764e-52 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000196890/ENSG00000197903/ENSG00000203811/ENSG00000203814/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000274997/ENSG00000275221/ENSG00000276410/ENSG00000276903/ENSG00000277075/ENSG00000277224/ENSG00000278463/ENSG00000278588/ENSG00000278677/ENSG00000288825/ENSG00000288859 32
GOMF_STRUCTURAL_MOLECULE_ACTIVITY GOMF_STRUCTURAL_MOLECULE_ACTIVITY 32/33 461/11149 0.06941431670282 23.4515217248406 26.8243497546205 5.88682931347571e-44 9.8898732466392e-43 5.70092944041859e-43 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000196890/ENSG00000197903/ENSG00000203811/ENSG00000203814/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000274997/ENSG00000275221/ENSG00000276410/ENSG00000276903/ENSG00000277075/ENSG00000277224/ENSG00000278463/ENSG00000278588/ENSG00000278677/ENSG00000288825/ENSG00000288859 32
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA 13/33 25/11149 0.52 175.681212121212 47.6394667952318 4.45512601353248e-28 6.23717641894548e-27 3.59536485302621e-27 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE 13/33 34/11149 0.382352941176471 129.177361853832 40.7828183157409 7.8314148984222e-26 9.39769787810664e-25 5.4172193282319e-25 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE 13/33 46/11149 0.282608695652174 95.4789196310935 34.9844334592801 8.41758807574941e-24 8.83846747953688e-23 5.09485594058517e-23 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE 13/33 55/11149 0.236363636363636 79.8550964187328 31.9409781710282 1.18239905790264e-22 1.10357245404246e-21 6.36144522380367e-22 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_HETEROCHROMATIN_ORGANIZATION GOBP_HETEROCHROMATIN_ORGANIZATION 17/33 189/11149 0.0899470899470899 30.3884880551547 22.2015885316028 3.50703722558587e-22 2.94591126949213e-21 1.69814434081e-21 ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000203811/ENSG00000203852/ENSG00000273213/ENSG00000274997/ENSG00000275221/ENSG00000276903/ENSG00000277075/ENSG00000278463/ENSG00000278677/ENSG00000288825/ENSG00000288859 17
